image_url,class,label:confidence
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/bab/2fe/bab2fe1170a8466ae495c7237fdaa9.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/f12/0a4/f120a454871d9a29d6866cee974291d.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/d27/b28/d27b28ea26e716e99c40eca533ef6c.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/eed/84f/eed84f29f5dbccb5ac1cd24e1f8ac7fb.jpg,Cross-country skiing,0.6824
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/61b/97f/61b97f87fd72c3e2c15baa4be8a9fb2.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/2a1/3b6/2a13b6854327dbf25c27b55227443f4.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/c34/120/c34120dc5ef97ffa2f97cdc35b8265a.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/44b/272/44b272762dffbc6e131856aa1fb7ce4f.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/f81/83b/f8183b6e4e15ba2f38ec878681c5c8f.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/5ab/4b9/5ab4b933eee761c4fb426dd7b9d762.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/1f6/ac4/1f6ac49430b4c7ecf771860db966af2.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/373/cb3/373cb31754df52116a6cfa9338be909c.jpg,Cross-country skiing,0.6599
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/d98/1fa/d981fa696d891a1f19239b191fde9285.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/16a/569/16a569cc579cb24caf1e8ff8487f7.jpg,Beach volleyball,0.6505
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/b5d/4ce/b5d4ce75621a8fbf86ac6480ba29d555.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/9bd/23e/9bd23e2b741d39866a3fc842b7f8f481.jpg,Formula racing,0.669
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/c76/569/c76569715a5d51542724010884905f.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/b29/632/b29632551b8b185c6a4f86645dfe985.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/942/89b/94289b10a646fd207319325db9f3.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/72b/4e3/72b4e3b187d4e86b7431aa45c3c92bf6.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/d4a/522/d4a5224ee1abf45b60fcab93c5d65.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/23f/f1d/23ff1d9f8eab2478f331e2233591ca4.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/eb4/b23/eb4b232b47a53804a5e2663ee7a9913.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/4ff/d34/4ffd34c6ade8c33d936c8f40297a3e.jpg,Formula racing,0.6647
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/913/9bf/9139bf8689ff9602fcaafcfe46f724e.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/6ad/5e2/6ad5e2e05a88db87148884dd48186777.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/8f3/3fd/8f33fd02ea48e433111bc91c2b4b19.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/813/f43/813f43eac524e751571a43d49ecb7e8.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/553/65c/55365c37dc7873d539b25c1765418a1.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/f2b/e67/f2be67ee74935b0bc823a8efe489fe1.jpg,Formula racing,0.6721
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/362/466/362466b1e9eb8598bd5dbc7a897e8790.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/348/90f/34890f66339a057f2523378aa8ad3e.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/88b/b46/88bb469d32feb9665c8228d3ebd526d.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/9fd/6d2/9fd6d2b2cedbc84ef7edecad80eac170.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/a58/054/a580547ceb715b9a54e98cf2c4f0907a.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/977/839/9778391c5dc7434a753a7edca9c4adf.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/dfa/207/dfa20772e842d6ed942e6b3fdafe39.jpg,Beach volleyball,0.6761
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/da2/697/da26973ee0c6282294482888cb6e565.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/a17/57e/a1757ebf162de22a90ad6e1685b61f.jpg,Cross-country skiing,0.6641
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/104/406/104406d631acaa750fda2b2484b25.jpg,Cross-country skiing,0.672
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/d3a/ec1/d3aec137c0cf44ee87427552c7fb4619.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/973/d58/973d581caf924e843dfb818e3d916695.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/9c5/01e/9c501e9392c3828d59fb872f31877dc.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/5e8/759/5e8759b1559f27bb48775e3b96827120.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/2b8/872/2b88727dc028d619f75b20c0bc184a0.jpg,Formula racing,0.6517
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/10a/6a3/10a6a3d09f5d59f13be85cbb7a42fd.jpg,Cross-country skiing,0.6638
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/e06/fd6/e06fd6ed883a028c563f29125d642.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/876/6dc/8766dcb780918a7b1cc1abcf5a6bbc.jpg,Beach volleyball,0.6552
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/c89/3cb/c893cbbb198c5683731993eb7eff06f.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/798/a83/798a83e8575133a5cd94bad81542447f.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/c5e/424/c5e424bbcd6e68fb66a6cea2755a3561.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/3f9/7e3/3f97e35a95725a3663ccdf12e68e5cf.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/8b9/f23/8b9f23be3887363b61e7c56a51f16270.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/7ef/ac0/7efac0e16f67497f1d55d85566759c5.jpg,Cross-country skiing,0.6445
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/799/31c/79931ca1ac7cba63e65780cf7fcc79.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/29c/f9c/29cf9c7b583117466a20346558245471.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/9c6/28a/9c628a99caa01f3467dd330f76237cd.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/ef4/474/ef44743db5b5ee3f70e0b8fbfc148c.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/6bb/d74/6bbd7441d58d4fcb982f07736379f48.jpg,Beach volleyball,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/5fd/e14/5fde144cb79dcc17e3506725862a7a53.jpg,Cross-country skiing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/a52/c84/a52c84c02cdb4bd55c67eb48f62fc1a.jpg,Formula racing,1.0
https://multimedia-commons.s3-us-west-2.amazonaws.com/data/images/5c6/131/5c61314238ecb33990e1a4497ea24f19.jpg,Cross-country skiing,1.0
